Date,cours
26/1/2015,239.97
27/1/2015,232.93
28/1/2015,212.53
29/1/2015,206.19
30/1/2015,206.03
31/1/2015,194.22
1/2/2015,200.84
2/2/2015,209.9
3/2/2015,200.75
4/2/2015,201.25
5/2/2015,191.22
6/2/2015,197.3
7/2/2015,200.4
8/2/2015,197.04
9/2/2015,194.91
10/2/2015,195.5
11/2/2015,195.18
12/2/2015,196.04
13/2/2015,203.58
14/2/2015,222.03
15/2/2015,204.96
16/2/2015,208.17
17/2/2015,213.72
18/2/2015,206.45
19/2/2015,212.92
20/2/2015,214.86
21/2/2015,214.21
22/2/2015,207.61
23/2/2015,211.16
24/2/2015,209.32
25/2/2015,209.91
26/2/2015,210.06
27/2/2015,221.5
28/2/2015,220.78
1/3/2015,224.59
2/3/2015,242.72
3/3/2015,247.94
4/3/2015,245.42
5/3/2015,248.4
6/3/2015,248.74
7/3/2015,252.96
8/3/2015,251.39
9/3/2015,265.39
10/3/2015,270.87
11/3/2015,278.72
12/3/2015,278.62
13/3/2015,273.38
14/3/2015,269.87
15/3/2015,273.1
16/3/2015,275.27
17/3/2015,270.05
18/3/2015,242.09
19/3/2015,249.41
20/3/2015,245.53
21/3/2015,242.62
22/3/2015,249.25
23/3/2015,244.26
24/3/2015,230.44
25/3/2015,226.8
26/3/2015,230.54
27/3/2015,228.33
28/3/2015,232.46
29/3/2015,229.01
30/3/2015,228.45
31/3/2015,228.92
1/4/2015,232.73
2/4/2015,231.86
3/4/2015,232.63
4/4/2015,235.99
5/4/2015,231.88
6/4/2015,233.17
7/4/2015,227.42
8/4/2015,227.87
9/4/2015,223.16
10/4/2015,223.09
11/4/2015,223.43
12/4/2015,214.13
13/4/2015,206.47
14/4/2015,210.04
15/4/2015,213.06
16/4/2015,208.69
17/4/2015,207.21
18/4/2015,208.09
19/4/2015,208.81
20/4/2015,218.21
21/4/2015,217.41
22/4/2015,215.84
23/4/2015,213.22
24/4/2015,208.06
25/4/2015,203.44
26/4/2015,209.8
27/4/2015,206.8
28/4/2015,204.71
29/4/2015,210.57
30/4/2015,208.28
1/5/2015,210.85
2/5/2015,213.42
3/5/2015,213.51
4/5/2015,210.78
5/5/2015,203.68
6/5/2015,210.71
7/5/2015,212.64
8/5/2015,214.76
9/5/2015,212.96
10/5/2015,215.37
11/5/2015,215.17
12/5/2015,208.8
13/5/2015,208.62
14/5/2015,209.02
15/5/2015,206.4
16/5/2015,205.24
17/5/2015,203.18
18/5/2015,205.05
19/5/2015,207.69
20/5/2015,209.3
21/5/2015,212.33
22/5/2015,210.32
23/5/2015,214.14
24/5/2015,212.64
25/5/2015,214.45
26/5/2015,213.85
27/5/2015,215.37
28/5/2015,214.45
29/5/2015,212.07
30/5/2015,208.44
31/5/2015,204.19
1/6/2015,203.87
2/6/2015,200.36
3/6/2015,198.8
4/6/2015,201.32
5/6/2015,201.93
6/6/2015,200.78
7/6/2015,201.32
8/6/2015,202.36
9/6/2015,201.83
10/6/2015,203.29
11/6/2015,203.61
12/6/2015,203.64
13/6/2015,205.2
14/6/2015,208.27
15/6/2015,217.11
16/6/2015,216.64
17/6/2015,217.31
18/6/2015,215.11
19/6/2015,214.45
20/6/2015,213.61
21/6/2015,216.92
22/6/2015,217.07
23/6/2015,214.95
24/6/2015,215.5
25/6/2015,217.06
26/6/2015,223.52
27/6/2015,225.78
28/6/2015,229.24
29/6/2015,237.18
30/6/2015,233.67
1/7/2015,229.79
2/7/2015,231.16
3/7/2015,234.33
4/7/2015,244.46
5/7/2015,244.22
6/7/2015,242.82
7/7/2015,243.81
8/7/2015,245
9/7/2015,256.45
10/7/2015,262.05
11/7/2015,278.88
12/7/2015,264.02
13/7/2015,260.87
14/7/2015,259.23
15/7/2015,254.96
16/7/2015,257.2
17/7/2015,254.26
18/7/2015,252.7
19/7/2015,255
20/7/2015,251.98
21/7/2015,253.17
22/7/2015,251.5
23/7/2015,260.92
24/7/2015,262.29
25/7/2015,263.94
26/7/2015,263.33
27/7/2015,264.96
28/7/2015,262.69
29/7/2015,263.44
30/7/2015,259.32
31/7/2015,258.02
1/8/2015,258.16
2/8/2015,259.15
3/8/2015,261.29
4/8/2015,259.36
5/8/2015,255.71
6/8/2015,256.25
7/8/2015,240.2
8/8/2015,243.91
9/8/2015,241.68
10/8/2015,245.76
11/8/2015,242.77
12/8/2015,238.63
13/8/2015,241.48
14/8/2015,239.01
15/8/2015,236.59
16/8/2015,234.69
17/8/2015,230.01
18/8/2015,206.99
19/8/2015,212.13
20/8/2015,207.26
21/8/2015,204.49
22/8/2015,201.67
23/8/2015,186.01
24/8/2015,194.68
25/8/2015,200.81
26/8/2015,199.84
27/8/2015,208.18
28/8/2015,205.06
29/8/2015,204.65
30/8/2015,206.19
31/8/2015,202.54
1/9/2015,204.71
2/9/2015,203.59
3/9/2015,207.19
4/9/2015,211.32
5/9/2015,215.57
6/9/2015,214.71
7/9/2015,217.95
8/9/2015,213.29
9/9/2015,212.22
10/9/2015,212.81
11/9/2015,209.31
12/9/2015,203.4
13/9/2015,204.14
14/9/2015,204.7
15/9/2015,202.85
16/9/2015,204.49
17/9/2015,205.79
18/9/2015,203.71
19/9/2015,204.8
20/9/2015,202.46
21/9/2015,206.44
22/9/2015,205.53
23/9/2015,208.81
24/9/2015,209.73
25/9/2015,209.17
26/9/2015,207.77
27/9/2015,213.23
28/9/2015,211.19
29/9/2015,211.14
30/9/2015,212.93
1/10/2015,211.22
2/10/2015,212.56
3/10/2015,212.64
4/10/2015,214.49
5/10/2015,218.48
6/10/2015,216.63
7/10/2015,215.38
8/10/2015,215.57
9/10/2015,215.61
10/10/2015,217.26
11/10/2015,216.49
12/10/2015,218.23
13/10/2015,220.17
14/10/2015,223.13
15/10/2015,230.51
16/10/2015,235.51
17/10/2015,229.59
18/10/2015,232.53
19/10/2015,237.44
20/10/2015,234.78
21/10/2015,246.46
22/10/2015,250.32
23/10/2015,255.85
24/10/2015,260.05
25/10/2015,284.641
26/10/2015,257.79
27/10/2015,265.79
28/10/2015,276.79
29/10/2015,284.68
30/10/2015,296.65
31/10/2015,282.41
1/11/2015,296.09
2/11/2015,318.5
3/11/2015,360.02
4/11/2015,368.09
5/11/2015,349.52
6/11/2015,342.73
7/11/2015,357.93
8/11/2015,346.22
9/11/2015,352.13
10/11/2015,315.33
11/11/2015,286.21
12/11/2015,309.1
13/11/2015,312.61
14/11/2015,309.63
15/11/2015,298.41
16/11/2015,309.68
17/11/2015,314.69
18/11/2015,315.92
19/11/2015,304.28
20/11/2015,301.92
21/11/2015,305.75
22/11/2015,304.27
23/11/2015,304.01
24/11/2015,300.15
25/11/2015,308.84
26/11/2015,336.43
27/11/2015,340.9
28/11/2015,337.09
29/11/2015,351.09
30/11/2015,357.2
1/12/2015,342.33
2/12/2015,339.9
3/12/2015,331.71
4/12/2015,334.91
5/12/2015,352.72
6/12/2015,361.74
7/12/2015,363.8
8/12/2015,376.84
9/12/2015,377.31
10/12/2015,379.72
11/12/2015,404.58
12/12/2015,393.89
13/12/2015,395.59
14/12/2015,401.06
15/12/2015,421.85
16/12/2015,413.98
17/12/2015,418.48
18/12/2015,425.07
19/12/2015,424.75
20/12/2015,407.26
21/12/2015,400.17
22/12/2015,397.6
23/12/2015,405.3
24/12/2015,414.87
25/12/2015,414.88
26/12/2015,381.71
27/12/2015,387.8
28/12/2015,384.32
29/12/2015,395.16
30/12/2015,391.97
31/12/2015,396.94
1/1/2016,400.52
2/1/2016,399.81
3/1/2016,396.66
4/1/2016,400.14
5/1/2016,401.8
6/1/2016,401.23
7/1/2016,419.31
8/1/2016,415.82
9/1/2016,412.17
10/1/2016,410.07
11/1/2016,415.18
12/1/2016,412.73
13/1/2016,399.57
14/1/2016,397.04
15/1/2016,343.91
16/1/2016,356.13
17/1/2016,352.53
18/1/2016,355.22
19/1/2016,349.22
20/1/2016,380.93
21/1/2016,378.66
22/1/2016,358.23
23/1/2016,359.76
24/1/2016,373.67
25/1/2016,363.26
26/1/2016,361.88
27/1/2016,363.67
28/1/2016,348.9
29/1/2016,351.06
30/1/2016,349.27
31/1/2016,343.26
1/2/2016,342.57
2/2/2016,342.95
3/2/2016,333.17
4/2/2016,348.87
5/2/2016,344.77
6/2/2016,336.65
7/2/2016,335.48
8/2/2016,331.9
9/2/2016,333.18
10/2/2016,336.79
11/2/2016,334.1
12/2/2016,339.84
13/2/2016,344.5
14/2/2016,357.96
15/2/2016,357.07
16/2/2016,364.23
17/2/2016,373.62
18/2/2016,379.01
19/2/2016,376.2
20/2/2016,394.96
21/2/2016,391.08
22/2/2016,393.63
23/2/2016,380.85
24/2/2016,383.31
25/2/2016,383.82
26/2/2016,391.06
27/2/2016,393.98
28/2/2016,393.28
29/2/2016,398.29
1/3/2016,397.45
2/3/2016,390.29
3/3/2016,384.18
4/3/2016,371.52
5/3/2016,360.16
6/3/2016,366.46
7/3/2016,375.24
8/3/2016,373.9
9/3/2016,375.02
10/3/2016,373.03
11/3/2016,375.71
12/3/2016,367.35
13/3/2016,367.83
14/3/2016,373.95
15/3/2016,374.07
16/3/2016,372.32
17/3/2016,371.53
18/3/2016,364.43
19/3/2016,364.47
20/3/2016,367.09
21/3/2016,366.87
22/3/2016,371.49
23/3/2016,372.59
24/3/2016,372.43
25/3/2016,373.37
26/3/2016,374.12
27/3/2016,378.3
28/3/2016,369.52
29/3/2016,364.78
30/3/2016,367.41
31/3/2016,367.35
1/4/2016,369.95
2/4/2016,369.75
3/4/2016,369.65
4/4/2016,372.66
5/4/2016,371.18
6/4/2016,370.93
7/4/2016,369.12
8/4/2016,368.39
9/4/2016,369.67
10/4/2016,370.9
11/4/2016,374.28
12/4/2016,375.47
13/4/2016,377.09
14/4/2016,380.94
15/4/2016,382.21
16/4/2016,378.39
17/4/2016,379.01
18/4/2016,383.98
19/4/2016,390.89
20/4/2016,398.36
21/4/2016,397.7
22/4/2016,400.93
23/4/2016,408.15
24/4/2016,412.29
25/4/2016,414.23
26/4/2016,396.5
27/4/2016,397.71
28/4/2016,399.16
29/4/2016,391.17
30/4/2016,395.39
1/5/2016,387.01
2/5/2016,393.34
3/5/2016,389.94
4/5/2016,394.08
5/5/2016,404.14
6/5/2016,403.05
7/5/2016,402.66
8/5/2016,406.71
9/5/2016,397.21
10/5/2016,397.24
11/5/2016,400.65
12/5/2016,403.42
13/5/2016,403.34
14/5/2016,404.94
15/5/2016,401.91
16/5/2016,402.41
17/5/2016,403.6
18/5/2016,393.49
19/5/2016,395.47
20/5/2016,395.61
21/5/2016,391.66
22/5/2016,394.8
23/5/2016,399.38
24/5/2016,402.43
25/5/2016,404.15
26/5/2016,423.33
27/5/2016,471.08
28/5/2016,465.49
29/5/2016,476.46
30/5/2016,477.49
31/5/2016,480.81
1/6/2016,482.39
2/6/2016,500.79
3/6/2016,504.86
4/6/2016,506.19
5/6/2016,514.35
6/6/2016,508.62
7/6/2016,510.3
8/6/2016,509.93
9/6/2016,515.56
10/6/2016,529.18
11/6/2016,592.24
12/6/2016,623.02
13/6/2016,613.28
14/6/2016,617.05
15/6/2016,683.49
16/6/2016,664.31
17/6/2016,672.9
18/6/2016,676.87
19/6/2016,648.84
20/6/2016,597.47
21/6/2016,527.59
22/6/2016,550.64
23/6/2016,605.31
24/6/2016,608.11
25/6/2016,574.82
26/6/2016,592.13
27/6/2016,587.5
28/6/2016,575.33
29/6/2016,607.76
30/6/2016,609.29
1/7/2016,630.64
2/7/2016,599.4
3/7/2016,611.72
4/7/2016,608.31
5/7/2016,613.05
6/7/2016,581.37
7/7/2016,606.77
8/7/2016,595.04
9/7/2016,589.18
10/7/2016,589.05
11/7/2016,610.55
12/7/2016,598.04
13/7/2016,597.15
14/7/2016,604.76
15/7/2016,603.56
16/7/2016,614.5
17/7/2016,610.71
18/7/2016,611.56
19/7/2016,606.22
20/7/2016,604.08
21/7/2016,594.42
22/7/2016,600.93
23/7/2016,603.1
24/7/2016,594.34
25/7/2016,594.11
26/7/2016,593.15
27/7/2016,591.92
28/7/2016,588.61
29/7/2016,585.32
30/7/2016,555.89
31/7/2016,535.12
1/8/2016,457.19
2/8/2016,509.9
3/8/2016,524.54
4/8/2016,522.72
5/8/2016,534.73
6/8/2016,539.9
7/8/2016,537.13
8/8/2016,531.42
9/8/2016,530.47
10/8/2016,529.85
11/8/2016,527.15
12/8/2016,525.39
13/8/2016,510.88
14/8/2016,509.21
15/8/2016,515.92
16/8/2016,508.65
17/8/2016,507.43
18/8/2016,509.32
19/8/2016,515.09
20/8/2016,513.72
21/8/2016,519.16
22/8/2016,516.06
23/8/2016,515
24/8/2016,511.39
25/8/2016,516.42
26/8/2016,508.91
27/8/2016,511.98
28/8/2016,512.32
29/8/2016,516.43
30/8/2016,513.07
31/8/2016,510.22
1/9/2016,513.85
2/9/2016,531.48
3/9/2016,542
4/9/2016,542.18
5/9/2016,542.75
6/9/2016,547.18
7/9/2016,556.03
8/9/2016,554.62
9/9/2016,556.53
10/9/2016,539.56
11/9/2016,541.3
12/9/2016,544.45
13/9/2016,544
14/9/2016,541.64
15/9/2016,544.21
16/9/2016,542.79
17/9/2016,545.16
18/9/2016,543.91
19/9/2016,544.62
20/9/2016,533.97
21/9/2016,531.3
22/9/2016,537.9
23/9/2016,539.34
24/9/2016,536.01
25/9/2016,541.3
26/9/2016,542.14
27/9/2016,541.75
28/9/2016,540.34
29/9/2016,545.3
30/9/2016,549.89
1/10/2016,545.72
2/10/2016,546.9
3/10/2016,546.71
4/10/2016,549.96
5/10/2016,550.68
6/10/2016,556.12
7/10/2016,555.59
8/10/2016,552.88
9/10/2016,556.09
